number,title,slug,first_name,last_name,genre,genre_slug,publisher,publish_year,price,isbn,description
1,Мастер и Маргарита,master-i-margarita,Михаил,Булгаков,Роман,roman,Public Domain,1967,790.00,9785000000001,Роман Михаила Булгакова о добре и зле, любви и свободе.
2,Человек в футляре. Сборник,chelovek-v-futlyare-sbornik,Антон,Чехов,Классика,klassika,Public Domain,1898,590.00,9785000000002,Сборник произведений Антона Чехова.
3,Палата № 6,palata-6,Антон,Чехов,Повесть,povest,Public Domain,1892,490.00,9785000000003,Повесть Антона Чехова о границе между здравым смыслом и безумием.
4,Воскресение,voskresenie,Лев,Толстой,Роман,roman,Public Domain,1899,690.00,9785000000004,Роман Льва Толстого о вине, искуплении и духовном обновлении.
5,Пошехонская старина,poshehonskaya-starina,Михаил,Салтыков-Щедрин,Классика,klassika,Public Domain,1889,650.00,9785000000005,Автобиографическое произведение Михаила Салтыкова-Щедрина.
6,О любви,o-lyubvi,Антон,Чехов,Рассказ,rasskaz,Public Domain,1898,390.00,9785000000006,Рассказ Антона Чехова о любви и упущенных возможностях.
7,Васса Железнова. Мать,vassa-zheleznova-mat,Максим,Горький,Драма,drama,Public Domain,1936,720.00,9785000000007,Драматические произведения Максима Горького.
10,Необычайные похождения Хулио Хуренито,neobychnye-pohozhdeniya-hulio-hurenito,Илья,Эренбург,Сатира,satira,Public Domain,1922,610.00,9785000000010,Сатирический роман Ильи Эренбурга.
11,Холстомер,holstomer,Лев,Толстой,Повесть,povest,Public Domain,1886,430.00,9785000000011,Повесть Льва Толстого, рассказанная от лица лошади.
12,Мертвые души,mertvye-dushi,Николай,Гоголь,Поэма,poema,Public Domain,1842,680.00,9785000000012,Поэма Николая Гоголя о путешествии Чичикова по России.
